record_id	name	mrp_id	cms_status	marketplace_status
rec0kqJsfOj4sJEQ2	Nichols	681586d3160448f6a084421f	Active	3️⃣Published🚀
rec0kweV4iWpMLo1u	Agency X (DE)	613288fff4424d9224c8506a	Active	3️⃣Published🚀
rec0lUyt2YQsD7Tv9	Texiq	685ac7a8b7caf6ecc0a0adda	Active	3️⃣Published🚀
rec0m4FsUoWPqjHeB	Markflow	60da74de8ae7416e8055a15d	Active	3️⃣Published🚀
rec0mmJKZVUCLJv9t	Morning	665098257eba5e60dde066c9	Active	3️⃣Published🚀
rec0myvRNTq071rUU	Briyva	683497c150b5406f9b690680	Active	3️⃣Published🚀
rec0nOOH6hIItZ2uf	SmartBank	67104e7c9680903b810f68b6	Active	2️⃣Scheduled📅
rec0nao3yvoSXBs7S	FurnishFlow	6735c368c7be2074f08762ac	Active	3️⃣Published🚀
rec0nloOq5QJhgVnI	Wakanda	6639083befef2d922a17302b	Active	3️⃣Published🚀
rec0oL2jRSnACJIOk	Amplus	68911952dbfbdb1f8afd4f06	Active	3️⃣Published🚀
rec0pExD7ZotAcZXK	ArchiNest	677cb4a1c4df7deb5660fee5	Active	3️⃣Published🚀
rec0pIRYhDpM74QnQ	Soluna	659d5f2769c2c052fa65c850	Active	3️⃣Published🚀
rec0pi1f5PkFiHxJi	Aurain	698cdbd7415b3b91ab1ee35f	Active	3️⃣Published🚀
rec0pr1Gv3FwOEHg6	Startflow X	629f57e384cc1a094a51657a	Active	3️⃣Published🚀
rec0q18O0JJGxaRPO	Salzburg	68bb1fdb5c6237400a19bd04	Active	3️⃣Published🚀
rec0q5hX4B1RMMcNu	Salama	6450dfadcfe7992ce8dc2976	Active	3️⃣Published🚀
rec0qRStg1aODWbaK	GreenShine	63474470a39a484a60601f5d	Active	3️⃣Published🚀
rec0qYhK2p4bS0h2Y	Millenium 128	65e8c2bf9b2e9bd2ff542cbf	Active	3️⃣Published🚀
rec0qpqYDmYyEVBFX	Increase	64bfecf6997e329c98b75ca5	Active	3️⃣Published🚀
rec0r93micklM42jv	Fotoshot	6655dc1d750da4bfc8f62303	Active	3️⃣Published🚀
rec0rR39fMa9Mafks	Zohadon	65ee600231eb4ae0c28d675b	Active	3️⃣Published🚀
rec0rfPPH68ntDTZn	Vistal	692c1a608065ea3ac6b8fdd4	Active	3️⃣Published🚀
rec0rhBRw3C5Od79A	Lumis	68a3f4b05c676b671b8548e3	Active	3️⃣Published🚀
rec0sePK5O0UdvsVJ	Product Tour 128	6639079c2a35d6f188b71321	Active	3️⃣Published🚀
rec0sh6etDTDD680R	Optalio	68e5c576ae8ff37394067c09	Active	3️⃣Published🚀
rec0uPMtZTFqUObu4	Auto RepairX TNC	673c9ba17a961c809913b417	Active	3️⃣Published🚀
rec0uftEqLar6hET0	Nerone	5beeff2ff600ba843c297806	Active	3️⃣Published🚀
